v1,v2,v3,amount,is_fraud
0.3659,0.9133,0.2978,409.1,0
0.1968,-0.2147,0.8504,448.97,0
-1.4184,-0.8956,0.1812,471.76,0
-0.7836,-0.5185,-0.1697,383.45,0
0.8669,-0.096,-0.2026,204.93,1
-0.4056,1.1046,-0.0376,366.93,0
1.8436,0.0406,-0.1617,458.08,0
0.8793,0.4523,-0.7749,190.22,0
-1.9447,0.8729,-0.6093,23.99,0
0.5045,-0.7533,0.5997,452.59,0
-0.6001,-2.0218,2.7522,354.77,1
-1.0381,-0.452,0.9019,224.06,0
-0.1642,1.3787,1.3343,458.24,0
0.3601,0.3556,0.9808,281.29,0
-1.1579,1.1161,-0.9366,277.43,0
-0.4025,0.7269,0.0707,230.1,0
1.0339,-0.7742,-3.2071,278.15,0
0.5602,-0.7162,-0.6264,243.16,0
0.4643,0.9965,0.9728,296.09,0
0.5154,0.0177,0.2115,346.91,0
-0.8937,-2.8442,-2.4678,216.37,0
0.7245,0.6814,-0.7016,279.97,0
1.0352,-1.3384,1.2923,40.25,0
-0.16,0.2005,-0.9253,470.43,0
0.8528,0.7787,-0.1102,485.79,0
0.4206,-0.4799,0.4226,244.65,0
0.4209,-1.3762,0.2699,271.36,0
0.3464,0.51,0.5992,202.0,0
-1.1863,0.1686,0.2957,301.98,0
0.1494,1.1911,-1.0651,497.86,0
1.0023,0.7799,-0.4057,458.21,0
-0.8767,-1.09,0.4707,23.64,1
1.4154,1.4393,-0.011,289.41,0
0.0002,1.3456,0.4352,469.11,0
-0.439,0.6714,0.5802,352.36,0
0.2001,2.0448,-2.3336,139.94,0
-1.6018,-1.3426,0.6096,459.85,0
-0.5342,-1.2752,-1.8012,243.25,0
-0.0814,1.0948,2.6863,81.3,0
1.7069,-2.2328,-0.607,470.86,0
1.6083,0.7069,1.3413,4.12,0
-0.5023,0.7186,0.643,30.44,1
-1.7679,0.4089,1.4524,89.82,0
-0.1737,-0.0046,-0.2986,214.27,0
0.6984,-0.8209,0.2329,473.56,0
-0.4884,0.4914,-1.2488,231.73,0
-2.1637,0.2201,0.7014,3.3,0
-1.2762,-0.6011,1.4574,287.43,0
-1.0876,-1.4179,-1.0228,114.27,0
-0.1417,0.5746,-0.7176,107.46,0
-0.4881,0.0861,0.2217,140.24,0
-0.3678,2.4585,-1.2392,360.75,0
-0.6725,-0.1656,0.2215,156.12,0
-1.7089,0.9818,1.4201,166.81,0
-0.1507,-0.3459,0.5404,202.24,0
-0.4335,-0.49,0.5928,395.54,0
-1.1685,1.9096,-0.3102,412.1,0
0.1688,-1.5197,0.6528,489.53,0
0.3076,1.5605,-0.0073,294.55,0
0.8439,-0.2063,0.5888,98.42,0
2.1684,-0.2546,0.8252,191.93,0
-0.1625,-0.1606,0.2886,270.56,0
-0.2809,-0.9598,-0.8582,463.58,0
0.2849,0.6947,1.0864,480.5,0
2.2974,0.4986,0.7242,5.86,0
-0.5102,-0.0863,0.2201,314.84,0
0.2531,2.4433,1.1144,51.76,0
-0.0225,-1.2267,-0.9034,194.56,0
-0.3083,-1.0408,-1.1682,402.92,0
0.9781,-1.1576,0.7748,317.29,0
0.6921,-0.3809,1.4103,158.25,0
-0.5533,-0.3165,-0.5497,446.59,0
0.7611,-0.5523,0.1417,392.68,0
-0.0345,-0.1005,-0.3068,380.01,0
1.5033,-1.753,0.7685,169.29,0
-0.5117,-0.9159,-0.5668,343.51,0
-0.277,0.1136,0.2329,170.55,0
-0.3953,0.9257,0.975,96.44,0
-0.0643,-1.496,-1.3678,177.58,0
-1.7387,2.7166,0.8478,414.79,0
0.1793,0.8324,-0.1206,339.09,0
-0.6633,-0.089,0.5114,60.14,0
1.3192,0.3887,0.8054,108.04,0
-0.1416,-0.3358,-0.2902,150.65,0
1.0124,-0.9447,0.5753,327.32,0
1.1162,1.2816,-0.8212,375.27,0
-0.1982,0.1684,-0.9658,23.81,0
0.6339,1.2919,0.1568,7.51,0
-0.374,-0.115,-0.8151,454.51,0
0.7018,2.6384,-2.0349,389.37,0
1.4821,1.4878,0.1319,347.5,0
0.6431,-0.9266,-2.7855,154.07,0
-0.865,0.6918,0.1065,11.24,0
-1.9331,0.4922,0.7829,5.02,1
0.863,-0.0796,0.6819,247.12,0
0.7262,-0.0396,1.3204,230.23,0
-1.5597,-0.7663,0.1376,331.08,0
0.6938,1.7518,0.1682,48.53,0
1.4902,-1.1963,0.7169,321.93,0
0.2151,-0.971,-0.355,479.58,0
0.3765,-0.3261,-0.8084,7.96,0
0.7216,2.1276,0.0869,308.52,0
0.7677,-0.4731,0.9176,487.66,0
-0.9009,-0.5738,1.1569,271.97,0
-0.1407,-1.7114,-0.3791,86.32,0
0.9285,-1.5772,0.879,421.74,0
-0.3798,-1.0388,-0.3898,5.23,0
0.5109,1.1868,-0.9827,491.67,0
1.3517,1.1847,0.3902,453.76,0
-0.5993,0.5802,1.4402,4.05,0
-1.1439,-0.9223,1.9859,323.87,0
0.897,-1.0392,-0.512,63.12,1
0.3932,0.2653,0.8164,183.65,0
0.6934,-1.5378,-0.5061,166.83,0
-2.6158,0.6063,0.7592,284.92,0
1.3307,-0.4262,-1.6107,258.87,0
-1.6882,0.2267,-0.6182,458.67,0
-1.8769,-0.4496,-0.3656,489.57,0
0.559,1.0538,-1.0154,240.32,0
1.8012,0.545,-0.0157,329.02,0
0.6254,0.0048,0.1886,238.91,0
0.8138,0.5346,-0.0696,463.38,0
0.6861,0.4275,1.454,30.52,0
-0.1153,1.06,-1.2772,462.35,0
1.2637,-0.3538,-0.3814,487.0,0
-1.5066,-0.0499,-0.5201,368.12,0
-0.2673,1.5604,1.157,489.36,0
1.5772,-1.4622,1.7863,220.01,0
-0.4583,0.4704,1.3561,52.51,0
-1.0048,0.7727,-0.6698,209.55,0
0.3423,-0.0337,-0.2912,2.44,0
-1.3124,-0.975,0.253,220.55,0
0.2754,1.6868,-0.587,305.94,0
-1.3286,-0.7521,-1.6695,45.74,0
-0.6011,1.9096,2.3287,37.94,0
0.6116,0.4772,2.354,477.94,0
1.2189,-0.2696,-0.2255,124.72,0
1.3729,1.7585,0.9835,76.27,0
0.3378,0.0298,-1.7258,210.48,0
1.1592,0.9816,-0.1891,209.42,0
0.7063,0.1841,-0.4531,438.63,0
0.356,-0.2286,0.2692,402.29,0
0.1752,-0.8271,2.5261,389.62,0
0.5843,-0.5928,1.6093,98.98,0
-0.4716,0.7054,-0.4792,284.21,0
-0.3694,-0.8016,0.7037,423.41,0
0.7537,-0.1504,0.3304,45.14,0
-1.4425,1.1853,-0.4621,369.68,0
0.9665,0.7154,-2.078,337.08,0
-0.1732,1.2749,-0.4218,367.74,0
-0.7336,-0.7134,-1.0274,49.94,0
-1.2336,-0.7107,-1.0895,355.9,0
-1.6824,-0.6625,1.2127,111.08,0
-1.0376,-2.4425,0.6119,141.59,0
-0.4839,0.5512,0.0687,333.69,0
2.4406,-0.149,-0.3731,18.33,0
-0.5768,-1.0255,2.7564,183.56,0
0.4898,0.1764,-0.9792,431.92,0
-1.7832,0.007,-1.2847,337.89,0
0.9165,-0.4224,-2.3541,495.19,0
0.8172,2.4815,-1.1881,168.42,0
0.5001,-1.2217,1.0547,136.16,0
0.3715,-0.9947,0.4318,191.77,0
-0.2897,1.532,0.2144,143.49,1
0.7346,-1.1776,1.1072,166.69,0
-0.4392,-0.4469,0.3286,93.5,0
-0.6229,0.5756,-0.4621,186.24,0
0.1609,0.5508,-0.5857,7.76,0
-0.4269,-0.2653,0.2131,388.68,0
0.4648,-0.3877,-0.6818,27.27,0
0.1549,-0.5644,-0.4288,98.51,0
0.252,0.4141,1.7736,443.18,0
-0.6059,-0.926,1.7302,206.91,0
1.3291,-0.9881,-1.2841,15.96,0
-0.3743,0.4747,0.3701,265.88,0
-0.1687,1.103,-0.6416,223.87,0
0.5872,-1.3419,-0.0425,105.35,0
-0.6212,-0.7643,0.1929,253.24,0
-0.4884,0.006,0.892,445.26,0
2.4294,-0.6816,-1.3739,466.95,0
-0.0285,-0.5644,0.9218,171.38,0
-0.627,-0.4236,-0.9299,215.56,0
-0.064,0.3518,1.064,2.7,0
-2.0121,0.6186,0.8801,179.2,0
0.8167,-0.3471,-2.8568,13.27,0
-0.3453,-1.5068,0.1535,460.47,0
0.4345,1.0272,0.3758,33.79,0
-0.5406,0.1904,1.2918,302.5,0
0.2036,0.9867,0.5316,384.85,0
-1.4445,0.497,0.1114,83.07,0
-0.3065,-1.1688,-1.684,173.59,0
1.3796,-1.256,-0.6461,322.79,0
0.6716,0.6959,-1.4028,123.82,0
-1.2425,0.4776,-0.305,341.76,0
0.2836,-0.6589,-1.5796,346.92,0
-1.4094,-0.455,1.9041,87.98,0
0.1403,-0.6946,-0.3199,414.32,0
0.4176,-0.1564,0.2152,44.47,0
-1.0517,-0.3507,-0.9902,453.79,0
-0.0714,0.1649,-1.8061,479.84,0
0.1639,0.0405,0.712,100.75,0
0.7091,0.5668,-1.1366,422.82,0
-2.3756,-0.9444,-0.7014,279.58,0
-2.4774,-1.5475,-1.6535,397.08,0
-0.0527,1.0136,0.3321,267.53,0
1.0289,2.5593,-0.3286,73.43,0
0.3735,0.461,-0.0436,491.25,0
-0.1793,-0.0136,0.5781,304.11,0
-0.0343,-0.5779,1.2284,335.51,0
-2.8055,-0.0923,-0.9298,92.88,0
2.404,-2.0291,-0.5038,92.34,0
0.8218,0.7086,-1.2312,195.42,0
0.0662,1.9644,0.2537,432.38,0
0.2229,-0.3024,1.8507,396.7,1
0.1674,1.2684,-0.1725,334.83,0
0.4801,0.2949,-0.2488,75.1,0
-0.6319,-1.011,-0.2315,88.08,0
0.9827,-0.5457,-0.8235,360.33,0
-0.9367,0.1415,-0.0035,139.15,0
0.3886,0.3879,0.1745,313.48,0
1.5072,0.798,-0.4151,134.57,0
-0.7928,-0.6275,-1.1504,285.22,0
-0.921,-0.5921,-1.8074,492.4,0
0.038,0.0718,-0.1775,401.91,0
-0.1921,-0.3327,0.7846,488.22,0
-0.8691,0.23,0.3152,331.15,0
-0.4549,-2.1262,-0.8111,122.58,0
-0.7646,2.4249,0.5634,227.5,0
-1.8927,0.9441,0.2094,38.02,0
1.776,-0.9185,0.3781,93.5,0
-0.6965,1.1111,-1.3688,230.73,0
-0.2648,0.1142,1.4198,210.76,0
-2.0031,-0.9683,-0.2363,315.85,0
-0.6309,-0.6347,0.5795,315.35,0
-0.2049,-1.2979,-0.3704,256.73,0
0.6275,-0.7985,-0.4797,80.11,0
0.2821,-0.7457,-0.2924,175.2,0
1.3994,0.3198,0.0138,142.76,0
-0.8336,0.1904,-1.6291,484.12,0
-0.4706,-1.0355,0.3521,149.57,0
-0.5871,0.3238,0.8149,470.56,0
-0.6696,-0.1048,0.1889,129.21,0
0.1225,0.6552,-0.8379,158.05,0
-0.5234,0.4343,1.0296,213.89,0
-0.8631,-0.3763,-0.8868,441.48,0
-0.4126,-0.7717,0.8118,25.72,1
0.9449,0.7829,-1.4571,184.64,0
0.3481,0.7651,0.4104,118.15,0
1.1257,-1.5506,0.1161,262.74,0
-1.3706,-0.4147,-0.631,141.56,0
1.6843,-1.6915,-0.1852,377.11,0
0.6828,0.2211,-0.8245,393.0,0
-0.5962,-0.4534,-1.4788,285.12,0
-1.1841,-0.7221,-0.3871,129.98,0
-0.1571,0.0998,0.1085,135.55,0
-1.9009,0.2138,1.3243,86.5,0
-0.2712,-1.5805,0.2572,65.02,0
1.2838,0.9769,-0.8907,321.63,0
1.4335,2.1882,1.6899,50.78,0
-0.0244,0.9194,1.7587,31.54,0
-0.6195,1.8526,-0.4741,239.99,0
0.6723,-0.93,1.5354,206.99,0
0.139,0.0332,-0.4133,389.1,0
1.2255,1.4753,0.6284,191.37,0
2.1017,0.3653,0.335,28.25,0
-0.3366,0.5903,-0.68,102.82,0
-0.2662,-0.9607,-0.4409,178.76,0
0.7929,2.3713,0.0345,236.21,0
-0.6282,-0.3134,1.4205,40.36,0
0.6552,-0.3359,-0.9473,95.39,0
1.1595,-0.5057,0.6462,37.17,0
0.2013,-1.9414,1.2771,96.06,0
0.0072,0.8615,-0.2083,17.71,0
0.7568,-0.467,1.3996,54.78,0
-0.0805,-1.4967,-0.9526,208.43,0
-1.4608,-2.0388,-0.6933,14.98,0
-0.1443,-0.5318,0.6265,157.58,0
-0.7538,1.0993,-0.9555,26.01,0
-0.7597,0.311,-0.6311,486.17,0
0.1377,-0.2424,0.5277,104.71,0
-0.2074,0.2305,0.6722,395.9,0
1.089,-0.5749,0.9271,211.64,0
0.5206,-0.2765,0.367,436.2,0
1.1552,0.1807,0.0106,396.81,0
0.527,0.4239,0.2104,287.23,0
0.0132,-1.5169,0.5899,204.74,0
0.1981,-0.9325,0.4309,450.55,0
-0.9824,-0.713,-0.5874,388.18,0
-0.0062,-0.6174,-0.4325,125.31,0
-0.5347,1.3768,-0.8709,451.85,0
-0.7297,0.0568,0.3291,129.9,0
1.5539,0.5847,0.6,66.77,0
-1.4336,-0.8061,1.7159,486.13,0
-0.0065,1.4208,-0.3876,359.13,0
-0.7525,0.7688,0.7472,27.01,0
-0.7135,-1.549,-0.4655,330.62,0
-1.4061,0.2111,-1.8657,416.02,0
0.0564,1.1596,-2.0358,311.53,0
