word_freq_free,word_freq_money,word_freq_click,capital_run_length,is_spam
0.803,0.081,0.291,705,1
0.357,-0.014,0.342,970,1
0.058,0.048,0.595,705,1
-0.217,-0.138,0.269,142,0
0.382,0.228,0.54,152,1
0.212,-0.318,0.704,458,0
0.134,-0.047,0.26,490,0
0.462,0.074,0.266,271,1
-0.013,0.132,-0.327,362,0
0.507,-0.11,0.275,80,1
-0.003,0.308,0.513,218,1
0.317,0.461,0.371,214,1
0.33,0.233,-0.323,527,1
0.519,-0.163,0.133,158,1
0.505,0.154,0.146,134,1
0.256,0.287,1.095,526,1
0.106,0.159,0.687,71,0
0.332,0.247,0.695,151,1
-0.117,0.008,0.346,113,0
0.352,0.021,0.88,464,1
0.279,0.04,0.461,564,1
0.475,0.207,0.576,521,1
0.487,-0.008,0.673,379,1
0.554,0.267,0.253,302,1
-0.112,0.146,0.532,283,0
-0.12,0.109,0.058,982,1
-0.193,0.176,0.427,917,1
0.43,0.135,0.469,232,1
0.256,0.33,-0.117,415,0
0.593,0.293,0.53,211,1
0.037,0.164,0.537,653,1
0.104,0.362,0.282,516,1
0.067,0.333,-0.006,757,1
-0.023,0.51,0.325,72,0
0.46,-0.009,0.683,986,1
0.539,0.118,0.174,271,1
0.362,0.19,0.134,779,1
0.443,-0.114,0.82,501,1
0.125,0.258,-0.023,47,0
-0.634,-0.15,0.549,172,0
-0.115,0.115,0.119,824,1
0.171,-0.119,0.185,264,0
-0.704,0.095,0.743,848,1
-0.084,0.352,0.836,878,1
-0.127,0.355,-0.278,496,1
0.01,-0.197,1.4,877,1
0.308,0.219,1.559,366,1
-0.025,0.102,0.239,369,0
-0.606,0.481,0.779,387,0
0.8,0.012,-0.071,461,1
-0.379,0.507,0.235,180,0
-0.071,-0.278,-0.022,283,0
0.397,0.334,0.424,352,1
0.278,0.012,0.445,812,1
-0.172,0.143,-0.018,993,1
0.886,0.124,0.664,536,1
0.562,0.374,0.184,681,1
0.381,0.297,0.607,465,1
0.299,0.258,0.383,608,1
0.448,0.262,0.673,855,1
0.209,0.252,0.301,359,0
0.278,-0.13,0.796,977,1
0.101,0.236,0.463,751,1
0.331,0.351,0.546,485,1
0.302,0.238,0.176,695,1
-0.005,-0.059,0.478,268,0
0.172,-0.001,0.159,447,0
0.027,0.336,0.191,139,0
0.017,0.153,0.624,305,0
-0.061,-0.081,-0.281,448,1
0.631,-0.204,0.198,516,1
0.635,-0.026,-0.114,431,1
0.263,0.316,0.193,935,1
-0.503,-0.082,-0.29,630,1
0.44,0.393,-0.088,595,1
0.044,0.092,-0.198,301,1
0.096,0.158,0.128,687,1
0.744,0.114,0.614,56,1
-0.036,0.237,0.461,666,1
0.515,0.267,0.526,708,1
-0.148,0.065,0.424,759,1
-0.109,-0.021,0.172,529,1
-0.257,0.303,0.817,508,1
0.617,0.421,0.152,644,1
0.066,-0.125,1.416,7,0
0.057,0.006,0.51,902,1
0.271,0.165,0.424,210,1
0.552,0.137,-0.406,308,1
0.634,-0.37,0.943,840,1
0.255,0.486,0.264,450,0
0.612,-0.058,0.014,652,1
0.364,0.115,0.29,524,1
-0.022,0.087,-0.202,488,0
0.166,0.189,-0.025,282,0
0.048,0.069,0.12,427,0
0.346,0.231,0.589,595,1
0.404,0.006,0.844,915,1
0.021,-0.081,0.614,143,0
0.047,0.073,-0.017,163,0
0.419,-0.086,-0.064,400,1
0.582,-0.023,0.28,156,1
-0.086,0.356,-0.037,806,1
0.603,0.323,0.84,675,1
0.102,0.289,0.798,386,0
-0.017,0.001,0.144,726,1
0.665,-0.052,0.092,332,1
0.175,-0.124,0.021,599,1
-0.026,-0.037,1.051,163,0
0.363,-0.019,-0.105,696,1
-0.301,0.15,1.022,751,1
0.136,0.127,0.119,902,1
0.491,0.475,0.315,66,1
-0.113,0.241,0.415,39,0
0.657,0.25,-0.301,946,1
-0.157,0.144,0.47,461,0
0.591,0.082,0.395,449,1
0.418,0.038,0.042,760,1
0.489,0.412,0.394,597,1
0.017,0.601,0.454,99,0
0.434,-0.293,0.04,560,1
0.437,0.22,0.025,699,1
0.117,-0.336,0.007,853,1
-0.074,0.199,1.023,513,1
-0.049,0.322,0.097,69,0
0.141,-0.187,-0.277,583,1
0.662,0.265,0.24,237,1
0.343,0.336,0.459,24,1
0.316,0.569,0.569,721,1
0.093,-0.155,0.932,162,0
0.55,0.219,0.86,513,1
-0.354,-0.006,0.813,560,1
0.153,0.008,-0.578,270,0
0.321,0.305,0.384,206,1
-0.059,0.393,0.623,752,1
0.49,-0.061,0.891,935,1
0.359,-0.002,1.172,927,1
0.523,-0.193,-0.184,827,1
1.024,0.224,0.814,628,1
0.075,0.478,-0.059,491,0
0.189,0.158,0.764,666,1
0.279,-0.034,0.668,801,1
0.67,-0.332,0.434,793,1
0.214,0.126,0.041,623,1
0.49,-0.133,0.262,54,1
-0.179,-0.048,0.554,129,0
0.054,0.148,-0.489,926,1
0.443,0.012,0.494,448,1
0.393,0.027,0.348,423,1
0.223,0.093,-0.537,813,1
0.111,0.086,0.56,256,0
-0.378,0.192,0.396,185,0
0.04,0.35,1.393,133,0
-0.474,-0.001,0.327,79,1
0.389,0.049,0.097,920,1
-0.328,0.221,0.157,731,1
0.107,0.281,-0.465,251,0
0.008,0.066,0.915,516,1
0.419,0.213,-0.531,498,1
0.591,0.075,0.565,141,1
0.398,-0.104,0.128,126,1
0.558,-0.156,0.829,146,1
0.414,0.133,-0.333,976,1
0.387,0.277,0.609,35,1
0.149,0.364,-0.023,62,0
0.938,-0.08,0.002,884,1
-0.041,0.246,0.362,676,1
0.489,0.041,0.355,313,1
0.699,0.166,1.111,773,1
-0.053,0.454,-0.263,930,1
0.161,0.434,0.32,744,1
0.269,0.202,-0.075,438,0
0.652,-0.045,0.479,976,1
-0.156,0.046,-0.292,880,1
0.571,0.086,-0.266,788,1
0.42,-0.018,0.272,391,1
-0.72,0.228,0.365,288,0
0.853,0.181,0.249,256,1
0.234,-0.066,0.199,281,0
0.164,-0.089,-0.288,830,1
0.206,0.069,0.094,857,1
0.613,0.089,0.55,474,1
0.24,0.103,0.667,654,1
0.265,0.178,0.067,60,0
0.761,0.304,-0.639,452,1
-0.036,0.246,0.916,283,0
-0.015,0.105,0.67,672,1
0.74,0.194,0.36,40,1
0.343,0.318,-0.025,567,1
0.296,0.086,0.161,732,1
1.015,0.073,1.068,870,1
0.259,-0.092,0.807,615,1
0.214,0.196,0.104,80,0
0.194,0.012,0.643,843,1
0.152,0.03,0.008,26,0
0.309,0.143,-0.051,418,1
0.432,-0.016,0.612,32,1
0.111,0.132,0.402,953,1
0.436,0.316,0.517,321,1
0.328,-0.248,0.253,521,1
0.299,-0.209,0.663,597,1
0.092,0.415,0.431,391,0
-0.242,-0.302,1.506,579,1
-0.041,-0.161,0.289,562,1
0.162,-0.148,0.894,818,1
0.625,0.314,0.444,538,1
-0.06,0.078,0.477,933,1
0.569,0.106,0.598,787,1
0.415,0.08,-0.125,710,1
0.938,0.118,0.949,902,1
0.097,0.144,0.152,371,0
0.156,-0.072,0.032,429,0
0.614,-0.419,0.568,932,1
0.099,-0.122,0.591,142,0
0.278,-0.075,0.602,518,1
0.408,0.361,0.245,648,1
0.347,0.01,0.488,171,1
0.499,0.213,0.515,568,1
0.119,-0.119,0.95,854,1
0.559,-0.178,0.556,75,1
0.606,0.397,1.056,363,1
-0.118,0.315,0.744,248,0
0.669,0.39,0.73,632,1
-0.039,0.349,0.701,76,0
-0.001,0.273,-0.067,855,1
0.378,-0.21,0.565,717,1
0.327,0.195,0.389,960,1
-0.465,-0.015,0.286,8,0
-0.097,0.311,-0.012,521,1
0.422,0.072,-0.019,792,1
0.407,0.196,0.021,919,1
0.525,-0.135,0.225,951,1
-0.037,0.178,0.195,147,1
0.371,0.489,0.02,749,1
0.289,0.335,-0.193,102,0
0.011,0.183,0.584,499,0
0.386,-0.009,1.342,772,1
-0.245,0.214,0.48,286,1
0.354,0.468,0.303,925,1
0.129,0.508,0.508,551,1
0.211,0.078,0.345,209,0
0.14,0.3,0.164,456,0
0.322,-0.046,0.783,866,1
0.498,0.406,0.874,506,1
