sex,length,diameter,height,rings
I,0.498,0.417,0.134,11
F,0.303,0.234,0.101,4
F,0.491,0.378,0.124,13
M,0.208,0.155,0.065,3
I,0.725,0.553,0.217,13
I,0.551,0.388,0.18,3
I,0.622,0.49,0.191,12
F,0.54,0.416,0.172,13
I,0.112,0.083,0.035,4
M,0.324,0.269,0.085,7
F,0.545,0.46,0.139,12
F,0.471,0.396,0.142,9
M,0.519,0.376,0.147,8
F,0.679,0.545,0.19,11
M,0.474,0.357,0.125,5
M,0.463,0.35,0.138,5
M,0.253,0.196,0.084,10
I,0.529,0.437,0.16,6
M,0.392,0.328,0.103,7
M,0.746,0.576,0.21,11
I,0.466,0.394,0.125,13
F,0.12,0.099,0.033,3
M,0.315,0.231,0.11,5
F,0.584,0.477,0.15,12
M,0.237,0.167,0.075,1
I,0.141,0.102,0.039,6
M,0.648,0.543,0.175,14
M,0.229,0.173,0.059,8
I,0.343,0.249,0.103,1
I,0.529,0.41,0.136,12
I,0.252,0.184,0.07,1
I,0.103,0.083,0.035,7
F,0.357,0.281,0.105,4
M,0.227,0.171,0.065,5
M,0.633,0.473,0.188,14
I,0.195,0.159,0.063,3
F,0.446,0.338,0.132,8
I,0.318,0.27,0.094,4
F,0.232,0.165,0.078,3
F,0.757,0.572,0.19,13
F,0.407,0.325,0.105,4
M,0.376,0.303,0.131,7
M,0.145,0.123,0.041,1
I,0.691,0.525,0.189,10
I,0.636,0.502,0.207,14
I,0.76,0.573,0.241,23
I,0.295,0.241,0.077,3
F,0.443,0.325,0.152,13
M,0.449,0.316,0.12,9
I,0.575,0.416,0.18,12
I,0.637,0.522,0.172,13
I,0.449,0.348,0.136,10
M,0.767,0.54,0.225,11
M,0.369,0.275,0.106,6
I,0.562,0.459,0.19,11
M,0.444,0.32,0.143,7
I,0.443,0.347,0.135,8
F,0.433,0.359,0.13,5
F,0.532,0.4,0.185,12
F,0.143,0.113,0.038,1
I,0.119,0.099,0.034,6
M,0.4,0.339,0.116,10
M,0.554,0.437,0.189,11
M,0.708,0.508,0.189,13
I,0.704,0.553,0.24,13
F,0.114,0.088,0.029,1
F,0.501,0.411,0.13,13
I,0.244,0.189,0.081,3
F,0.354,0.271,0.106,5
M,0.688,0.537,0.192,23
F,0.663,0.526,0.229,16
I,0.691,0.493,0.196,18
F,0.399,0.3,0.103,10
F,0.453,0.338,0.143,7
F,0.537,0.413,0.175,13
M,0.717,0.569,0.216,15
I,0.773,0.628,0.23,18
I,0.473,0.375,0.155,5
I,0.142,0.104,0.042,4
M,0.205,0.165,0.057,1
M,0.544,0.45,0.15,11
F,0.552,0.408,0.171,9
M,0.119,0.098,0.034,3
F,0.492,0.376,0.155,11
M,0.12,0.099,0.033,2
I,0.223,0.185,0.077,3
M,0.32,0.238,0.082,6
F,0.728,0.583,0.246,9
M,0.265,0.208,0.08,8
M,0.465,0.384,0.161,11
M,0.267,0.192,0.088,4
F,0.683,0.553,0.226,13
M,0.201,0.146,0.07,1
F,0.386,0.32,0.099,3
M,0.322,0.246,0.102,5
F,0.716,0.601,0.205,13
M,0.552,0.461,0.14,5
I,0.564,0.474,0.18,11
I,0.369,0.294,0.118,5
I,0.185,0.154,0.062,1
F,0.749,0.628,0.21,19
M,0.308,0.255,0.082,3
I,0.384,0.271,0.129,8
F,0.43,0.327,0.144,7
M,0.677,0.545,0.204,7
F,0.395,0.319,0.12,5
M,0.549,0.399,0.162,15
I,0.195,0.148,0.061,3
M,0.275,0.222,0.09,6
I,0.634,0.525,0.202,13
F,0.711,0.512,0.19,11
I,0.679,0.557,0.183,11
F,0.761,0.634,0.207,16
M,0.746,0.595,0.233,21
M,0.283,0.234,0.072,1
I,0.4,0.296,0.104,3
M,0.11,0.086,0.036,7
F,0.679,0.526,0.185,15
F,0.302,0.233,0.079,12
M,0.52,0.442,0.145,9
F,0.655,0.461,0.228,10
M,0.532,0.445,0.153,9
M,0.428,0.356,0.149,5
F,0.581,0.469,0.186,11
M,0.49,0.347,0.168,7
F,0.736,0.625,0.253,18
I,0.667,0.467,0.2,12
F,0.312,0.237,0.09,9
I,0.226,0.164,0.068,3
F,0.715,0.514,0.201,12
M,0.319,0.27,0.096,6
F,0.623,0.523,0.174,15
F,0.462,0.354,0.123,6
I,0.796,0.649,0.211,18
F,0.137,0.099,0.037,1
M,0.429,0.311,0.127,13
F,0.129,0.097,0.041,6
F,0.42,0.301,0.135,10
M,0.708,0.515,0.189,16
I,0.676,0.53,0.214,15
M,0.468,0.368,0.137,19
M,0.272,0.211,0.071,4
I,0.185,0.14,0.064,5
M,0.686,0.496,0.177,15
F,0.54,0.4,0.17,6
F,0.779,0.622,0.269,13
I,0.735,0.602,0.193,19
M,0.661,0.491,0.218,13
I,0.367,0.279,0.098,3
F,0.162,0.134,0.043,3
I,0.208,0.155,0.069,1
I,0.664,0.496,0.212,16
F,0.459,0.355,0.155,12
F,0.288,0.227,0.075,3
M,0.404,0.309,0.103,9
F,0.781,0.626,0.246,14
I,0.541,0.421,0.151,4
F,0.155,0.127,0.044,7
F,0.689,0.536,0.193,13
M,0.486,0.407,0.146,6
F,0.563,0.442,0.155,11
F,0.51,0.416,0.128,9
M,0.69,0.488,0.201,10
I,0.308,0.243,0.091,4
F,0.339,0.284,0.112,3
M,0.23,0.186,0.071,5
I,0.113,0.085,0.028,1
I,0.434,0.349,0.146,12
F,0.312,0.256,0.097,5
I,0.572,0.459,0.165,10
M,0.234,0.192,0.075,6
M,0.701,0.513,0.221,12
I,0.701,0.547,0.181,11
