alcohol,malic_acid,ash,flavanoids,class
15.08,3.67,2.33,2.28,2
12.42,2.16,2.37,3.73,0
13.19,2.29,2.31,3.11,1
16.64,3.11,2.43,2.33,2
13.2,2.97,2.27,1.97,1
12.73,1.87,2.43,3.32,0
14.66,2.66,2.42,2.76,1
12.88,2.86,2.65,2.77,1
14.35,2.77,2.35,2.47,1
12.26,2.4,2.34,2.58,0
13.22,2.13,2.25,2.97,0
10.98,2.07,2.26,3.5,0
12.83,2.72,2.54,3.1,1
12.61,2.49,2.35,1.56,1
14.38,2.62,2.25,2.89,1
15.08,3.02,2.55,1.75,2
14.47,3.02,2.38,1.95,1
12.78,2.02,2.47,2.59,0
13.93,1.71,2.4,3.45,0
14.02,2.43,2.39,2.91,1
14.7,2.53,2.31,1.99,1
13.89,2.13,2.35,2.69,1
16.07,3.27,2.33,1.61,2
13.5,2.77,2.23,1.75,1
15.44,2.65,2.49,2.11,2
14.33,2.66,2.27,2.21,0
12.72,2.46,2.33,3.11,1
13.85,2.53,2.47,2.38,1
14.99,2.88,2.62,1.32,2
10.65,1.58,2.31,2.59,0
12.91,1.91,2.34,2.85,0
13.81,2.95,2.45,3.04,1
11.61,1.6,2.37,2.64,0
14.37,3.0,2.36,2.17,1
12.23,2.02,2.37,2.82,1
12.86,1.79,2.28,2.48,0
15.5,2.65,2.34,1.67,2
12.99,2.56,2.35,2.87,1
14.91,2.98,2.28,2.5,1
12.71,1.8,2.59,3.2,0
12.3,1.72,2.36,3.28,0
14.55,3.18,2.34,2.69,2
13.59,2.33,2.31,2.55,0
14.17,2.5,2.53,2.39,1
14.77,2.48,2.31,2.39,1
13.46,2.12,2.53,2.97,0
13.9,1.62,2.68,2.86,0
13.88,3.27,2.28,2.33,2
14.14,2.08,2.32,1.85,1
15.05,2.74,2.3,1.89,2
13.11,2.51,2.45,2.02,1
12.95,2.01,2.48,2.26,0
15.82,3.58,2.29,2.49,2
13.04,2.73,2.36,2.31,1
14.67,3.0,2.31,1.78,2
12.72,2.2,2.3,2.76,0
13.16,1.98,2.26,2.47,0
12.49,2.31,2.43,2.26,1
13.9,2.28,2.24,2.64,1
12.71,2.22,2.45,2.79,0
12.83,2.62,2.33,2.63,1
13.93,1.94,2.5,3.44,0
15.22,2.03,2.41,3.3,1
13.2,2.0,2.31,2.1,0
14.2,2.41,2.33,2.69,1
13.77,2.89,2.16,1.06,2
15.91,3.05,2.39,1.59,2
14.61,2.08,2.5,2.63,1
14.41,2.77,2.41,1.77,2
14.05,2.11,2.44,1.73,1
13.38,2.64,2.55,2.04,1
12.93,2.27,2.36,2.48,0
14.4,3.01,2.39,2.42,2
13.58,2.79,2.4,2.9,1
13.03,1.83,2.38,3.34,0
12.83,2.32,2.34,3.24,1
14.39,2.75,2.32,2.15,2
15.14,2.85,2.25,1.38,2
13.88,2.45,2.42,2.91,1
15.76,3.02,2.2,1.95,2
14.08,3.23,2.44,2.4,2
12.19,1.82,2.3,2.93,0
13.04,2.01,2.29,2.56,1
15.93,2.56,2.35,2.86,1
13.64,2.33,2.39,2.75,0
12.45,2.26,2.59,2.43,0
15.79,2.57,2.33,1.95,2
12.86,2.06,2.23,2.12,0
15.93,3.16,2.24,1.82,2
13.27,1.98,2.33,2.85,0
14.15,2.32,2.58,2.12,1
12.67,1.69,2.53,3.17,0
14.77,3.49,2.38,0.89,2
12.72,1.98,2.42,3.66,0
14.64,3.02,2.42,1.89,2
15.82,3.15,2.29,2.2,2
12.46,1.95,2.27,3.05,0
13.43,3.28,2.38,1.47,2
15.49,3.51,2.32,1.64,2
12.99,2.31,2.38,3.7,0
13.04,2.48,2.48,2.37,1
15.0,3.24,2.32,1.84,2
15.03,2.83,2.4,2.55,1
14.53,3.03,2.5,2.21,2
15.32,2.83,2.32,3.14,1
13.13,2.13,2.41,3.43,0
13.58,2.83,2.47,2.75,1
15.29,3.43,2.37,2.29,2
14.35,1.93,2.35,2.31,1
16.16,2.95,2.44,1.16,2
14.08,2.73,2.57,2.12,1
14.44,2.71,2.3,3.16,1
13.63,2.86,2.4,2.45,1
14.77,2.6,2.37,2.28,1
14.02,2.44,2.38,2.17,1
14.94,3.57,2.5,2.08,2
13.53,2.84,2.42,2.83,1
14.4,3.09,2.45,2.13,2
13.73,3.06,2.14,2.25,2
13.16,1.71,2.55,2.8,0
12.79,2.4,2.37,3.16,0
14.45,3.31,2.32,2.15,2
14.89,2.87,2.32,3.27,1
14.73,1.95,2.29,2.15,1
15.51,3.12,2.25,1.63,2
12.62,2.31,2.38,2.24,1
13.85,1.66,2.38,1.75,0
14.72,2.32,2.45,2.29,1
14.11,2.78,2.48,3.77,1
13.96,3.0,2.45,2.54,1
12.7,2.74,2.46,1.6,1
13.82,1.81,2.51,3.05,0
14.57,1.85,2.34,3.55,0
12.99,2.31,2.39,1.86,1
15.19,2.64,2.46,1.08,2
12.2,1.85,2.36,2.74,0
13.09,1.68,2.38,3.54,0
15.41,3.22,2.45,2.59,2
12.79,2.42,2.45,2.02,1
12.46,2.15,2.33,2.65,0
13.13,2.31,2.4,3.35,0
15.11,2.63,2.36,1.73,2
16.51,2.71,2.37,1.36,2
13.08,1.8,2.41,3.1,0
15.21,2.97,2.46,2.33,2
12.67,2.23,2.41,3.34,0
15.27,3.29,2.42,3.62,1
15.62,2.6,2.45,2.41,1
15.59,2.6,2.44,2.23,1
12.24,2.1,2.43,3.47,0
13.41,2.1,2.54,2.58,0
13.29,2.18,2.55,2.7,0
14.0,2.24,2.51,3.85,1
14.61,3.18,2.48,2.36,2
12.39,2.21,2.44,2.95,0
15.43,2.31,2.22,2.89,1
14.16,2.96,2.29,1.76,1
16.05,2.58,2.37,1.44,1
13.38,2.18,2.35,2.9,0
13.57,2.26,2.53,3.16,0
13.79,1.67,2.33,3.37,0
12.57,2.09,2.34,2.97,0
15.69,3.56,2.45,2.19,2
14.23,2.79,2.27,3.19,1
14.4,3.47,2.3,2.91,2
12.96,1.83,2.3,3.34,0
14.92,2.82,2.47,2.27,2
15.0,2.49,2.49,3.37,0
14.61,2.21,2.49,3.01,1
15.91,3.0,2.46,1.77,2
13.58,2.26,2.28,1.98,1
12.49,2.53,2.35,2.39,1
16.31,3.52,2.41,2.2,2
12.87,1.76,2.34,2.75,0
14.47,2.9,2.27,3.69,1
14.19,2.8,2.48,1.97,2
12.64,2.26,2.5,3.65,0
12.98,1.46,2.28,2.34,0
14.13,2.04,2.44,2.68,0
13.54,2.85,2.31,2.55,1
16.45,2.42,2.14,2.88,2
13.27,2.24,2.46,2.77,1
15.64,2.87,2.46,1.76,2
14.12,2.17,2.56,3.06,1
14.89,3.52,2.38,2.05,2
15.4,3.15,2.35,2.06,2
14.9,2.85,2.34,2.45,2
15.33,2.99,2.48,1.56,2
14.71,1.93,2.34,2.48,1
15.03,3.05,2.39,1.54,2
15.19,2.62,2.37,1.97,2
14.62,3.16,2.52,1.8,2
14.66,2.88,2.27,1.76,1
13.74,1.58,2.54,3.97,0
14.52,3.09,2.65,2.4,2
13.5,3.12,2.61,2.31,1
13.44,2.93,2.39,2.69,1
14.35,2.91,2.52,1.68,2
13.77,2.11,2.52,3.73,0
12.63,2.11,2.28,3.33,0
13.15,1.9,2.48,2.91,0
14.94,2.84,2.45,2.4,1
14.4,2.69,2.33,3.13,1
14.86,3.13,2.32,1.59,2
13.62,3.21,2.27,1.82,2
15.01,2.36,2.48,2.76,0
14.22,2.47,2.44,2.17,1
13.96,3.08,2.51,1.46,2
14.03,2.29,2.68,3.55,1
16.55,2.85,2.41,2.97,2
15.07,1.84,2.27,2.84,1
14.71,2.09,2.52,2.1,1
12.67,2.78,2.44,2.48,1
12.79,1.66,2.34,2.82,0
13.81,2.38,2.43,1.73,1
14.19,2.76,2.24,1.37,2
14.2,3.27,2.25,1.52,2
12.64,1.93,2.41,2.53,0
14.72,2.61,2.46,1.27,2
12.19,2.43,2.48,2.48,0
15.78,3.07,2.46,1.22,2
13.91,2.44,2.38,2.45,1
15.46,2.89,2.45,1.73,1
13.24,2.85,2.24,3.54,1
13.76,2.53,2.1,2.9,1
14.06,2.32,2.21,2.14,1
14.65,3.27,2.29,2.75,2
14.45,2.29,2.28,1.95,1
12.72,2.23,2.44,2.89,0
13.64,2.82,2.44,2.95,1
14.57,2.23,2.34,2.96,1
14.06,1.74,2.38,2.72,1
14.65,3.33,2.35,1.67,2
14.22,2.93,2.38,1.69,2
12.58,1.35,2.3,2.16,0
12.79,1.64,2.22,3.68,0
13.73,1.59,2.53,2.37,0
14.7,2.95,2.51,2.0,2
13.01,2.17,2.42,2.99,0
14.14,1.26,2.4,3.36,0
15.17,2.84,2.33,3.24,2
14.14,3.03,2.06,1.38,2
11.68,2.3,2.28,2.66,0
13.97,2.03,2.58,2.4,1
13.31,2.62,2.47,2.34,1
13.74,3.59,2.53,2.74,2
15.02,3.37,2.59,3.02,2
14.74,2.64,2.55,2.57,2
12.76,1.53,2.32,2.5,0
11.98,2.08,2.53,3.23,0
13.75,2.44,2.42,2.5,1
13.74,2.46,2.28,3.32,1
13.69,2.11,2.48,2.89,0
15.22,2.34,2.37,1.93,1
15.04,2.84,2.28,2.45,2
12.84,2.39,2.34,3.07,1
15.42,2.94,2.25,1.81,2
15.38,1.89,2.56,2.77,1
16.61,3.56,2.31,1.6,2
15.28,3.17,2.57,1.89,2
13.1,1.94,2.55,2.65,0
15.64,2.89,2.18,1.95,1
14.27,2.22,2.21,2.66,1
13.62,2.16,2.35,2.01,0
14.52,2.63,2.43,2.94,1
14.51,2.8,2.4,1.39,2
13.21,1.93,2.26,2.73,0
14.01,2.67,2.39,2.99,0
13.5,3.0,2.31,2.3,1
13.5,1.95,2.35,2.78,0
13.36,1.98,2.38,2.74,0
12.49,2.22,2.34,1.51,1
11.53,1.97,2.27,3.24,0
16.08,2.66,2.57,2.8,2
14.95,2.78,2.35,2.34,1
11.91,2.01,2.62,2.98,0
