study_hours,attendance,sleep_hours,prev_grade,final_grade
1.9,85,8.6,73,67
6.5,65,5.6,49,63
4.0,83,5.8,50,61
5.2,81,8.0,86,80
0.2,96,6.5,85,71
1.3,86,8.4,73,66
9.6,56,4.5,95,84
0.4,64,5.7,80,52
7.5,88,5.7,95,91
0.4,65,8.7,86,61
6.8,58,5.2,95,72
9.1,41,8.0,70,72
2.8,58,7.1,92,71
5.3,98,9.5,89,91
2.4,84,7.0,51,64
8.3,57,6.0,48,59
0.6,84,6.0,58,58
6.9,43,10.0,58,71
2.1,88,8.9,52,77
8.3,56,7.5,85,88
8.1,91,4.6,46,80
7.1,69,7.2,86,84
0.5,52,5.4,45,39
6.3,52,7.0,48,59
2.3,96,6.4,42,63
7.2,45,9.5,79,78
9.6,64,4.6,72,72
8.6,89,7.3,95,94
9.1,53,8.9,91,88
0.3,46,6.0,66,48
6.0,99,4.1,84,82
3.8,70,7.8,71,68
9.8,47,9.8,66,86
9.2,96,7.7,53,82
3.5,96,4.3,59,69
6.0,91,4.7,73,72
1.1,58,5.4,65,45
5.3,61,9.0,77,86
1.9,92,8.3,53,78
6.1,72,4.9,55,61
4.2,45,5.5,42,51
7.0,94,8.4,48,75
7.5,93,6.2,41,74
7.8,61,5.4,65,60
7.4,73,8.2,47,80
7.5,67,8.7,41,83
8.7,43,7.1,53,64
3.6,65,9.3,45,65
3.9,83,6.7,60,60
9.4,53,4.6,51,69
3.4,43,8.9,72,58
5.5,67,7.4,71,68
7.6,81,9.4,79,85
2.1,73,9.0,58,63
2.4,97,7.3,90,76
5.3,68,8.7,61,70
6.7,75,8.4,73,86
1.4,42,5.3,81,46
0.5,82,6.2,84,69
6.9,78,8.9,72,79
7.1,91,5.7,76,87
1.8,41,8.3,68,61
1.7,88,7.6,76,69
6.2,80,6.5,79,74
7.8,58,9.0,81,80
6.0,78,8.5,83,77
4.6,96,7.1,49,58
5.4,63,7.5,80,77
3.3,46,5.8,89,60
5.0,59,7.4,90,77
1.8,52,4.7,93,57
7.8,92,5.3,89,96
4.0,75,9.8,43,77
4.1,84,4.1,75,63
1.2,88,6.5,41,56
6.4,51,8.5,59,54
2.3,78,5.3,82,59
6.6,98,6.2,55,82
6.6,75,8.5,93,83
8.2,58,9.0,62,88
1.2,49,9.4,76,57
6.1,61,4.2,91,73
5.9,62,7.3,49,63
4.3,57,4.6,75,58
4.1,44,9.5,53,63
0.1,70,8.9,46,49
1.5,52,8.8,60,48
5.7,99,8.5,56,85
4.0,49,5.4,90,57
7.7,94,7.1,80,97
8.3,50,6.9,54,64
0.0,82,9.1,67,54
3.9,43,4.7,88,53
3.9,52,4.5,82,63
8.2,92,9.1,43,89
9.5,64,7.2,79,84
6.3,44,9.1,60,66
0.5,66,8.6,95,64
5.8,68,7.9,80,75
1.4,86,6.2,80,66
5.0,68,7.6,65,71
1.6,85,9.7,48,62
4.1,48,7.6,62,52
0.2,91,4.6,95,58
4.7,64,9.5,50,67
5.7,99,7.6,89,88
9.4,83,7.2,44,79
9.7,52,5.2,54,73
9.3,62,8.3,50,79
2.0,98,9.8,46,57
4.6,53,9.1,50,65
6.8,45,7.6,40,58
4.2,92,7.1,82,81
3.2,69,7.0,76,71
1.9,68,4.4,82,58
5.5,59,5.6,43,57
5.8,43,4.8,65,56
2.9,42,9.8,46,50
0.5,68,5.2,56,50
8.3,65,6.8,46,81
7.4,71,8.0,50,69
9.2,44,4.1,50,57
8.9,77,7.2,51,71
1.0,52,5.6,66,52
7.3,71,8.7,83,91
6.1,54,8.5,95,84
5.4,96,4.7,72,66
1.8,83,10.0,66,73
7.5,87,4.1,90,84
7.0,74,8.3,67,70
1.2,70,8.2,65,67
8.6,71,5.4,65,68
8.6,40,6.2,40,61
3.8,49,4.5,93,64
3.5,83,5.0,65,68
6.8,82,6.2,89,76
9.4,83,5.6,76,100
1.5,44,7.1,89,60
5.7,60,7.4,69,69
7.5,42,7.3,74,72
4.3,78,7.3,90,73
5.5,41,9.7,48,63
3.3,42,9.7,84,66
7.3,82,9.1,67,91
6.9,72,9.8,81,85
1.3,96,7.6,94,75
6.3,81,4.5,62,64
4.5,74,7.0,91,77
6.5,45,6.1,51,59
2.4,74,6.4,64,55
9.7,51,4.2,79,77
4.5,64,8.7,79,80
9.7,71,7.7,71,89
3.8,49,9.1,76,72
7.2,49,9.0,48,65
3.2,76,5.2,87,75
3.2,73,4.0,81,65
1.9,80,8.8,63,69
0.3,97,9.2,88,76
9.9,64,8.4,61,81
0.3,47,5.0,74,41
1.8,87,6.1,63,62
5.2,69,7.6,52,70
1.4,92,8.9,58,68
9.5,83,7.2,76,94
8.5,90,6.3,95,95
5.5,97,9.5,46,90
3.4,50,5.6,83,59
5.3,61,8.3,70,67
1.8,100,6.1,50,65
9.5,54,9.2,54,78
3.4,78,8.7,63,77
9.4,46,7.4,65,82
3.7,41,9.7,71,51
9.5,75,5.9,79,85
3.2,71,8.6,58,67
1.9,80,7.7,83,66
8.9,92,7.5,93,100
4.8,43,5.2,93,69
7.0,77,5.4,90,91
2.1,59,4.5,58,52
4.5,60,9.0,52,71
3.7,96,5.3,66,75
4.8,94,9.7,46,76
8.5,42,4.1,79,75
2.7,94,4.9,95,73
9.5,90,4.5,89,89
3.5,69,6.3,73,68
5.9,70,7.4,78,76
7.3,48,8.5,40,64
8.4,73,7.3,89,91
3.5,50,9.3,61,52
7.8,66,4.4,60,66
8.6,77,7.0,90,90
2.8,95,5.0,71,61
7.1,72,6.0,87,84
6.3,86,7.5,63,76
8.0,60,8.7,93,84
1.3,79,9.5,45,58
8.1,67,9.9,41,82
8.8,42,4.9,59,73
3.7,54,7.5,54,61
6.4,92,9.3,92,94
1.2,60,9.2,44,54
4.8,73,5.2,80,74
4.3,87,5.1,46,62
5.2,79,6.3,77,78
6.2,85,6.9,71,86
9.4,67,6.7,80,83
7.9,86,9.7,81,86
1.3,94,7.1,87,76
7.0,98,6.2,53,80
2.2,92,5.0,74,65
8.1,46,8.4,52,71
6.1,96,9.0,40,74
6.3,79,4.6,64,70
5.2,66,5.6,50,51
2.0,75,6.8,41,46
4.0,85,4.5,69,65
1.8,51,9.4,70,56
9.7,75,7.8,70,89
1.4,49,9.2,42,46
5.1,89,9.1,87,92
4.5,97,7.9,55,74
5.5,51,8.3,47,57
