battery_kwh,weight_kg,temp_c,speed_kmh,range_km
69.3,1773,-5.8,97,235.9
95.1,1586,30.3,80,430.9
41.4,1631,30.3,53,139.6
54.6,1681,8.7,59,210.5
45.2,1577,-9.5,41,137.9
84.2,1849,33.5,119,351.3
97.9,2492,13.0,82,424.7
87.2,1608,20.6,47,404.6
84.8,1583,-0.7,51,347.2
40.2,2310,24.3,66,148.3
59.2,2042,-0.4,65,214.1
82.5,2007,20.3,63,354.9
75.5,2381,-6.9,63,278.3
70.5,1581,-1.2,65,275.3
74.5,1693,25.0,49,352.4
51.3,2368,6.1,69,186.1
75.5,2115,10.6,76,323.7
53.1,1756,31.2,70,190.7
98.1,1757,4.1,60,420.8
43.9,1564,14.7,47,168.1
44.8,2282,34.9,97,124.8
40.7,2262,23.7,80,125.9
61.7,2197,20.3,48,255.8
74.2,2244,32.0,97,279.6
62.2,1807,28.2,80,266.7
72.8,2262,-0.5,115,268.6
64.6,2401,13.1,91,265.3
67.8,2420,13.2,59,287.8
65.2,1525,33.7,80,275.1
62.9,2391,21.6,91,247.1
89.0,2427,-1.4,115,345.1
96.8,1722,-5.3,90,382.1
51.9,2009,9.6,78,194.5
89.8,2374,17.5,69,398.9
69.9,1945,37.4,60,288.5
69.2,2181,-7.0,53,258.5
68.6,1796,-2.9,106,251.1
96.6,2322,0.8,102,394.1
49.5,2145,5.5,119,158.6
65.7,1624,20.0,107,278.7
88.4,2384,-3.6,112,347.3
98.2,1564,-9.1,87,387.5
59.6,1739,35.5,80,229.6
78.0,2423,38.6,75,287.5
59.9,1699,35.1,81,224.6
86.9,2086,38.6,69,349.3
88.8,1755,14.4,100,372.5
93.4,1820,15.5,52,419.8
59.3,2041,14.5,117,231.4
94.0,2469,37.9,74,389.7
51.6,2288,3.8,58,184.5
61.8,2296,-7.0,71,205.9
61.4,2135,14.1,58,253.9
87.0,2479,6.0,80,341.6
89.4,2161,-0.6,116,338.2
76.3,1802,26.7,64,319.1
54.9,1885,11.1,41,223.0
57.9,1709,-2.8,43,229.0
65.3,1877,13.2,58,278.5
66.8,1891,17.8,116,266.8
96.2,1966,3.8,117,395.2
67.2,1666,19.3,81,299.9
92.1,2065,13.9,58,406.2
58.9,2237,8.8,43,222.5
63.7,1834,20.7,44,274.8
78.6,1831,18.3,112,349.0
83.4,2230,-3.4,48,332.1
95.6,1643,-2.4,106,394.7
45.5,1868,38.6,83,159.6
44.9,1851,27.5,103,156.7
65.0,2308,9.8,59,260.8
72.9,1591,30.7,97,309.4
92.1,1732,2.0,111,388.8
41.5,2158,32.1,68,134.8
85.5,2472,-2.4,57,334.6
70.0,1830,9.4,90,300.1
69.5,2185,25.7,93,284.6
73.0,1541,0.0,44,302.4
40.4,2218,-6.0,87,110.3
70.5,2348,-1.8,67,260.5
77.7,2137,4.1,111,299.7
62.5,1897,-2.0,65,229.3
51.7,2419,3.0,55,169.9
79.0,1962,-8.6,117,296.1
86.2,1709,-0.8,45,356.7
63.2,1609,27.1,66,271.8
84.8,2352,24.5,67,378.2
93.2,2337,5.2,99,391.2
74.0,2405,32.2,67,300.1
70.7,1817,-9.4,63,261.8
96.8,1897,26.0,98,417.4
99.1,2116,27.7,102,411.8
87.7,2183,32.9,71,367.4
44.7,1609,34.2,43,153.6
96.8,2452,-10.0,96,350.7
62.9,2081,38.1,52,245.7
51.4,1933,27.1,87,198.3
44.6,1927,22.7,78,176.4
58.1,1769,12.8,66,217.7
47.2,2151,27.2,43,200.6
50.5,1615,-5.7,70,150.0
67.3,2407,19.0,111,270.8
73.8,1564,26.6,59,326.9
52.9,1907,23.9,43,234.0
67.9,1679,38.6,113,255.3
93.8,2172,-6.8,75,363.5
52.2,1773,-8.8,74,148.3
97.8,1692,1.7,97,419.7
42.6,2076,31.8,95,106.6
73.5,2219,14.4,69,305.7
57.2,1590,19.9,98,226.5
89.2,2057,-1.8,87,351.3
59.2,2154,7.3,62,214.6
74.8,1881,13.4,84,316.6
80.4,2410,14.7,109,322.9
64.5,2484,11.6,117,238.8
95.5,2160,13.3,109,411.6
91.7,1668,34.5,83,369.4
77.5,2113,7.1,120,300.6
89.9,1663,32.6,113,386.9
52.3,2209,9.8,93,201.2
92.8,2013,17.2,106,405.1
96.1,2180,37.1,69,400.5
81.0,2306,6.7,54,325.4
62.4,2459,9.7,90,250.1
53.1,1859,27.5,53,217.6
49.3,2210,34.8,64,185.7
83.0,2414,29.7,104,337.7
95.0,2211,37.5,70,381.7
85.3,1810,31.3,109,337.1
51.5,1516,-8.4,55,153.1
52.4,2347,28.8,49,210.8
47.1,2467,7.9,91,157.1
40.6,2111,5.0,89,116.1
77.2,2441,13.9,118,313.6
75.6,2195,14.6,44,318.8
55.3,1984,33.1,89,201.9
85.2,2288,-5.1,115,306.8
98.3,2002,39.7,88,397.3
42.3,1999,28.0,51,145.8
45.0,2241,31.5,120,141.1
95.3,1965,9.0,83,409.9
42.1,1817,17.6,97,187.0
53.0,1920,-5.3,56,164.7
41.7,2018,12.2,104,131.0
50.9,1781,24.9,89,204.3
83.5,1759,19.3,106,355.4
69.5,2423,12.6,60,297.4
65.6,2203,-2.3,49,246.0
51.9,1997,2.5,89,178.8
94.3,2291,8.8,78,380.0
51.0,1848,33.3,114,179.3
66.7,2217,37.4,54,250.2
46.1,1642,-3.4,117,123.8
62.0,2215,11.5,107,230.5
93.9,1877,21.7,53,428.4
66.2,2218,11.1,48,273.7
45.2,2398,37.4,85,124.0
54.6,2450,33.8,55,199.8
41.4,1588,18.5,65,139.0
62.4,1769,13.9,63,274.7
74.9,1618,18.0,69,337.9
84.8,1900,-9.4,47,339.2
70.6,1512,-4.4,74,268.6
92.8,1640,6.0,71,399.2
91.6,2320,0.7,100,354.1
50.3,2066,21.7,109,193.0
91.5,1572,-2.7,56,385.4
85.6,1989,15.7,49,378.6
74.0,1752,21.3,92,327.8
53.5,1768,10.3,95,194.2
42.6,1828,29.0,43,169.2
62.4,1960,20.3,68,284.9
84.9,1630,14.0,105,377.4
85.3,1661,2.1,106,334.4
57.3,2291,-6.2,116,175.1
45.1,2413,28.9,45,164.7
62.2,1902,4.0,83,230.0
59.6,1815,32.8,100,235.8
70.7,1895,27.9,115,275.7
76.3,2176,29.3,57,298.9
68.2,1593,24.6,83,279.5
43.8,2144,3.4,74,135.9
92.5,2108,15.7,80,413.7
54.4,1695,7.4,79,203.3
51.5,1843,15.9,92,200.4
80.2,1692,28.4,57,364.5
88.1,2204,4.8,86,355.3
52.3,1973,19.1,62,207.3
47.0,2240,33.8,71,164.2
89.8,1687,34.4,103,390.5
62.5,1901,14.2,74,268.8
60.5,1760,20.3,72,258.5
47.5,1885,30.7,90,175.9
96.0,2450,14.8,110,405.7
75.0,1783,15.6,93,321.7
65.7,2001,19.8,100,279.2
66.2,1820,-4.0,63,257.8
99.7,1542,32.4,75,450.2
46.4,2048,3.4,52,173.8
52.3,2412,23.0,47,204.3
40.6,1845,38.8,75,122.4
53.2,2118,18.5,74,223.7
95.7,1862,32.0,59,430.7
85.7,1675,30.3,89,367.6
52.2,2131,-9.1,60,174.0
98.7,1776,30.5,55,447.4
45.7,2365,10.3,70,153.0
50.4,1725,4.0,40,193.0
54.3,1815,11.8,116,208.4
53.9,2367,-5.9,96,150.7
66.6,2256,34.4,118,241.7
85.9,1710,34.1,102,352.3
66.2,2396,16.2,81,281.0
63.3,1952,20.3,87,270.3
48.7,1579,20.0,88,208.5
53.1,1861,10.3,71,214.4
82.9,2420,1.5,116,330.6
81.2,2076,2.2,48,314.8
67.1,2319,-8.9,113,209.9
69.5,2241,12.3,94,285.2
45.4,1761,7.4,74,139.5
68.7,1672,1.0,114,281.3
78.7,2113,16.5,65,358.5
61.9,2278,1.4,60,203.8
45.5,2212,17.6,72,195.2
67.2,1800,-2.9,95,254.8
56.7,2437,-0.7,92,179.2
53.9,1594,21.0,113,230.9
79.3,2303,33.6,62,320.0
65.4,1671,1.8,65,266.6
76.2,1578,-6.6,52,296.6
72.0,2297,13.1,87,309.5
83.4,1656,16.7,63,376.4
91.3,2284,3.6,42,384.7
70.1,2416,-7.2,57,254.3
90.8,1747,33.1,87,394.5
74.4,1785,13.1,98,313.3
54.9,2155,20.3,45,239.6
44.0,1886,-3.2,76,113.7
80.7,1904,17.5,91,355.5
93.3,1977,38.1,106,368.7
83.1,2267,10.3,72,358.0
71.4,1917,-1.7,103,264.3
44.4,1876,32.1,54,164.0
76.3,1922,9.1,78,309.8
51.9,1516,0.8,58,197.6
67.0,2104,29.5,57,269.8
54.7,1516,35.0,96,195.5
55.2,1908,13.3,99,208.1
47.8,2482,-7.4,58,140.0
93.8,2444,-4.9,87,372.8
63.2,2169,33.6,49,252.4
75.9,1863,31.1,110,282.0
92.1,1990,-6.6,82,364.2
51.6,2444,15.3,41,211.0
82.7,1776,-7.0,105,310.2
53.1,2033,8.6,97,176.2
67.6,2136,6.3,87,270.0
43.1,2029,19.3,96,163.3
70.8,2182,29.0,112,266.1
70.4,2491,-2.3,88,241.5
83.9,2150,3.4,58,357.8
85.7,1701,-5.3,89,334.0
42.6,1512,37.7,64,153.1
65.1,1698,10.9,59,262.0
99.4,1715,-10.0,48,412.0
49.8,1538,3.3,101,174.2
94.9,1669,36.2,103,389.0
46.9,2185,13.0,83,149.2
91.0,2478,37.8,113,335.3
73.5,2410,35.1,82,276.5
49.3,2198,31.8,115,155.9
71.2,1785,30.3,71,296.7
69.0,1836,37.0,78,271.0
69.9,2241,39.6,46,277.8
91.8,1609,31.2,111,386.6
53.4,2302,0.9,71,173.8
45.9,2055,15.3,92,170.7
84.6,1929,18.3,78,380.8
68.9,2450,23.1,80,286.2
95.6,1558,11.8,95,426.4
41.8,2460,8.5,79,140.4
54.1,2400,39.9,90,165.0
91.0,1793,2.2,61,377.9
60.2,2112,6.4,88,225.9
44.9,2255,-9.6,109,101.8
65.7,2418,-5.4,59,230.3
50.7,1636,4.6,86,182.1
80.7,2440,31.3,85,322.4
49.9,1817,6.5,44,187.3
99.8,1584,39.4,118,433.7
87.4,2418,9.5,102,355.1
46.5,2107,4.6,107,157.9
48.3,1973,20.3,73,203.5
49.4,2294,25.0,52,186.4
57.0,1902,32.6,60,221.9
81.7,2329,12.6,105,328.6
88.9,1928,30.3,70,396.0
87.7,2367,5.5,81,358.6
82.2,1537,-6.0,115,322.5
92.5,1651,-4.6,97,380.4
56.9,1840,24.4,114,234.1
54.4,1993,11.8,55,230.7
80.3,2246,19.4,66,347.2
93.7,2171,-8.3,60,361.4
42.9,2361,32.7,72,144.1
