median_income,house_age,avg_rooms,avg_bedrooms,population,median_house_value
12.17,47.0,7.4,0.9,1381,500001
5.51,31.0,7.1,1.6,825,349573
6.08,25.6,3.9,1.9,1767,338022
14.89,16.1,9.8,2.1,896,500001
11.3,3.5,6.9,1.7,2722,500001
4.65,41.7,6.9,1.4,1946,286689
10.95,34.6,8.7,2.1,2720,500001
9.87,16.8,5.5,1.9,2224,500001
11.34,10.0,3.1,1.8,2917,500001
8.2,47.6,8.6,1.1,2492,464662
11.33,18.3,2.9,2.9,508,500001
14.51,44.9,7.8,2.9,2905,500001
11.96,1.7,6.3,1.6,2051,500001
10.25,30.8,8.6,2.9,414,500001
13.32,29.6,9.3,1.1,283,500001
12.45,47.4,4.4,1.5,505,500001
7.64,6.0,9.1,0.8,1416,427955
10.22,38.9,9.6,1.5,2253,500001
1.94,26.0,5.3,2.9,195,166163
5.87,23.6,9.6,2.6,388,355407
14.68,19.3,5.2,1.0,454,500001
12.8,24.2,7.3,2.1,1832,500001
4.03,7.4,6.5,0.7,2319,246297
3.5,12.0,9.0,1.3,528,233213
12.95,8.4,3.0,1.1,606,500001
10.09,2.3,2.1,2.5,790,500001
1.26,38.8,6.2,2.4,1481,143931
11.78,27.2,2.9,1.8,2842,500001
13.07,27.6,5.7,2.9,276,500001
7.45,21.5,7.5,1.7,2738,438538
9.32,4.3,4.2,2.1,1690,495023
5.22,51.7,6.2,1.6,1856,368972
12.87,34.2,8.2,2.3,724,500001
7.05,12.7,4.7,1.6,1306,406032
10.14,20.1,3.2,2.8,295,500001
12.56,5.8,2.8,2.3,2454,500001
8.64,17.8,3.0,1.4,2029,455633
11.38,45.3,7.8,2.9,1841,500001
3.58,34.5,3.8,0.8,2552,253790
5.83,39.9,6.6,2.5,2551,400811
9.4,33.8,2.2,2.8,2505,500001
4.38,10.2,7.6,1.3,1085,307569
8.71,21.4,3.1,2.1,189,474247
11.32,12.0,5.4,1.4,1173,500001
8.73,5.3,2.4,0.9,1892,419853
10.27,14.9,7.3,1.7,1382,500001
2.15,22.9,4.3,2.2,1511,184960
10.17,3.3,5.2,2.0,122,500001
2.49,14.0,4.6,0.5,2266,174717
3.05,20.4,7.6,1.8,2517,213591
13.0,3.2,2.1,2.8,2600,500001
8.85,30.2,7.7,1.5,434,500001
12.12,32.5,8.7,2.8,356,500001
12.75,13.4,6.7,1.8,1248,500001
5.33,9.6,6.1,0.8,1579,323394
13.64,18.8,7.8,2.5,2464,500001
3.36,31.7,8.1,2.1,614,251366
11.71,26.2,8.0,2.4,1402,500001
9.71,32.9,8.9,2.1,538,500001
1.49,23.6,4.4,1.2,263,102948
7.05,3.9,8.7,0.7,2606,399012
12.9,32.4,6.1,1.7,1708,500001
7.02,42.3,7.2,1.3,1479,388350
2.69,4.2,2.8,2.7,1096,147400
3.0,13.6,5.5,1.6,1616,168141
2.8,20.0,4.3,1.5,1081,152597
9.89,4.4,2.8,2.2,924,492075
10.99,34.5,9.3,2.7,1067,500001
5.57,50.4,7.6,1.5,1826,361425
14.1,16.8,5.0,2.5,2458,500001
11.21,36.0,6.2,2.1,1328,500001
5.75,19.5,3.4,1.0,2848,309746
2.49,4.9,8.8,0.8,2336,174683
12.61,46.1,2.3,1.3,2322,500001
2.85,43.4,8.2,2.5,580,241136
6.85,22.0,7.4,1.1,1388,394087
7.01,28.2,4.5,2.5,1460,433521
12.61,19.8,9.6,3.0,1439,500001
8.15,50.3,8.5,2.5,501,500001
4.13,33.7,9.0,1.9,398,307040
4.63,39.9,4.2,2.8,527,260338
6.84,49.3,3.8,1.6,1114,416840
7.78,13.0,10.0,1.4,182,452864
14.0,43.8,7.2,2.5,499,500001
10.59,8.1,7.6,1.6,115,500001
1.65,14.1,8.7,1.9,2209,130326
4.68,16.4,2.4,1.5,2402,260456
7.13,6.7,9.2,2.0,148,394450
2.58,22.9,6.9,1.1,1308,185141
10.13,5.4,9.8,0.7,1626,500001
8.54,20.9,5.8,2.1,2945,473732
4.18,1.8,8.3,1.4,2226,228468
11.16,18.0,2.4,1.9,2459,500001
3.04,40.7,5.7,2.2,1932,223982
11.75,24.3,4.3,0.6,678,500001
1.11,48.6,6.1,3.0,1675,133902
3.27,19.2,8.2,2.7,1063,257443
2.3,19.8,9.1,2.4,2694,139753
7.69,26.4,9.4,1.8,2423,493355
11.04,5.0,6.8,2.6,1682,500001
10.08,16.6,6.8,1.6,2100,500001
5.6,3.2,9.0,1.4,2995,319235
14.24,4.8,7.1,1.4,2423,500001
10.35,49.6,3.1,2.0,2366,500001
11.79,19.7,5.1,1.9,1855,500001
10.35,49.4,5.0,2.4,1764,500001
9.92,13.7,2.9,2.3,1547,500001
6.11,29.6,4.1,1.2,1394,372080
13.79,26.1,3.0,2.6,1411,500001
13.53,23.7,2.7,2.2,2552,500001
1.44,28.7,9.1,2.6,2164,163125
13.95,33.5,8.3,1.8,452,500001
11.96,2.3,6.4,1.4,2431,500001
8.5,32.2,2.7,1.3,2999,465854
11.65,43.0,2.6,2.9,1963,500001
7.02,35.7,4.8,2.7,2363,402605
14.51,23.1,9.3,0.6,460,500001
2.72,9.4,4.6,2.3,1103,207802
12.77,13.8,7.1,1.9,463,500001
4.89,28.2,6.0,0.9,2831,319465
10.95,31.9,8.7,1.9,2493,500001
0.91,3.3,7.1,1.9,1988,86756
9.77,26.4,7.0,1.2,2874,500001
7.5,42.0,7.5,1.2,312,474591
7.52,11.4,6.9,1.3,2183,429666
11.15,44.9,9.8,0.8,1175,500001
7.26,14.6,4.0,0.7,942,391126
6.07,32.4,4.0,2.7,563,343545
5.03,39.9,6.0,1.8,1546,344781
4.97,2.2,9.6,1.8,2903,302737
1.23,26.2,9.1,2.1,1465,151389
8.28,44.2,5.4,2.7,2210,487204
6.31,30.1,3.6,1.9,313,344273
7.81,40.0,4.2,3.0,2073,491654
6.21,41.5,4.7,2.8,2289,412590
3.39,27.0,6.0,0.6,497,214990
7.13,31.9,6.1,1.3,1878,438503
2.86,51.5,7.9,1.2,1075,245554
10.78,16.3,8.5,1.4,2054,500001
14.71,30.8,8.4,2.3,2095,500001
14.52,40.9,8.2,1.9,2192,500001
8.96,9.7,7.0,2.0,2539,500001
0.96,49.4,2.9,0.5,1010,135842
2.7,36.2,5.3,2.4,2770,220175
1.4,8.0,3.7,1.3,2020,73100
8.12,17.0,3.4,2.8,1093,418944
10.95,33.8,7.5,2.0,658,500001
4.07,29.5,3.8,2.9,963,248876
10.72,17.2,4.8,2.8,2407,500001
4.47,7.2,7.4,1.4,2942,288255
12.17,15.8,4.3,2.3,1104,500001
6.91,14.1,5.8,1.0,1662,417142
2.49,32.4,6.7,1.1,2043,177784
8.2,33.5,2.4,1.5,2180,483343
0.58,29.1,9.4,1.5,2812,125261
13.24,25.3,3.6,2.9,1031,500001
1.8,30.3,6.3,2.3,2816,116879
13.74,9.9,9.1,0.9,2767,500001
7.68,48.8,9.7,2.8,2643,481048
0.63,30.0,2.9,3.0,925,100958
7.66,48.9,8.8,1.7,659,474282
2.13,9.3,5.7,1.1,640,141342
8.73,39.6,3.4,2.6,2701,458032
12.49,27.3,2.7,2.2,636,500001
4.1,14.3,3.9,2.4,2867,252225
4.88,37.9,2.1,2.1,2109,301513
4.95,21.7,6.0,2.7,2140,303029
5.01,7.0,9.3,1.2,1882,306157
2.72,39.1,6.8,1.5,1693,219932
7.33,28.4,7.3,1.0,818,432538
1.69,23.8,7.6,0.7,1736,105668
1.4,28.9,6.0,1.9,535,117497
2.19,11.5,6.7,0.7,1580,175457
12.23,24.1,6.1,1.6,267,500001
10.99,21.2,8.5,2.4,1777,500001
1.16,18.6,2.5,3.0,2810,131245
0.96,21.9,8.2,2.4,2937,130201
9.87,22.4,9.9,1.5,2622,500001
10.4,34.8,6.3,2.1,1109,500001
3.09,28.4,6.2,2.3,746,218236
4.83,35.3,6.4,1.8,2488,308533
4.09,18.7,4.2,2.8,2203,271769
6.58,40.1,9.1,0.5,698,438081
1.96,2.7,6.8,2.3,241,133569
3.9,12.1,8.9,0.6,1561,231272
4.69,42.6,7.9,1.3,1834,308355
4.88,8.3,7.3,1.1,971,272949
1.38,49.4,9.0,2.8,1915,142763
14.6,49.0,7.4,2.5,1024,500001
6.54,8.6,5.0,2.4,1473,370391
10.76,42.1,9.3,1.9,2907,500001
8.58,7.8,3.9,1.0,1975,490812
1.84,38.0,3.5,1.2,2054,129412
9.24,45.6,3.5,2.4,2200,500001
13.11,18.0,9.7,0.5,2818,500001
14.45,7.0,10.0,1.7,804,500001
13.77,29.2,8.2,1.5,1648,500001
5.71,14.3,6.1,1.7,386,352680
12.68,47.6,5.0,1.5,1731,500001
3.71,8.4,4.1,2.8,1780,204303
5.28,20.4,8.7,1.7,1998,333552
10.43,14.1,8.6,2.9,1961,500001
12.03,9.6,7.8,1.7,2759,500001
8.36,33.7,2.5,0.6,2555,492095
11.58,22.0,8.7,1.1,2151,500001
0.63,26.8,5.0,2.0,2034,66256
7.57,1.3,6.4,0.5,1635,396737
4.48,50.9,2.1,2.5,2055,300886
2.05,5.9,3.2,1.0,1627,83291
12.32,14.6,5.2,1.4,1277,500001
3.77,35.9,8.8,2.1,2589,244379
11.51,5.8,5.0,1.9,263,500001
7.75,23.1,8.3,1.9,2588,452630
1.88,27.9,2.3,1.0,2618,151058
1.18,4.8,9.4,2.7,1734,95822
0.98,48.4,4.5,2.9,1802,120248
6.28,4.9,3.3,1.1,2520,303601
6.14,46.7,4.7,2.4,506,409146
7.76,50.7,2.4,1.6,2532,448591
5.44,40.2,9.6,1.5,2343,376049
14.89,26.0,4.8,2.9,1352,500001
10.36,34.7,2.7,2.0,2414,500001
2.74,37.3,7.1,2.3,1018,201408
2.04,1.3,4.5,1.4,882,134516
7.01,29.3,5.3,0.6,1126,415555
1.85,31.5,4.6,1.5,946,140540
13.57,47.2,9.8,1.9,592,500001
6.02,8.1,4.4,1.7,283,311982
7.52,4.9,4.0,1.1,1913,409403
9.11,11.0,2.9,1.3,2852,467016
12.16,17.8,4.7,2.5,2593,500001
14.63,7.9,4.6,2.9,682,500001
14.55,15.9,7.6,1.7,1770,500001
4.02,20.2,8.5,1.5,430,238935
8.41,35.8,6.4,2.9,1439,477891
10.77,23.4,4.3,2.2,2475,500001
7.74,33.3,3.9,2.1,2174,420297
11.94,4.8,9.9,1.7,1262,500001
10.53,28.7,8.3,1.4,2697,500001
8.29,33.5,2.7,2.4,2007,443512
1.14,51.2,7.4,1.5,2283,168183
14.5,23.0,2.1,1.1,1581,500001
8.84,23.7,5.1,2.4,1807,488319
7.76,18.6,2.2,0.8,1306,427063
14.14,8.2,4.5,1.6,700,500001
7.5,25.3,5.5,2.2,1025,416608
2.17,44.3,7.2,2.2,577,223321
14.77,13.4,3.4,0.9,1724,500001
6.37,10.4,7.1,1.6,185,360937
9.4,11.1,6.7,1.5,2144,500001
12.23,4.2,2.8,2.7,642,500001
5.23,24.3,4.1,2.7,1630,288865
9.36,30.9,4.8,2.6,1890,500001
12.3,37.0,4.4,2.0,346,500001
4.93,10.3,7.5,1.8,1313,301943
2.5,20.6,3.5,2.1,2111,110466
8.55,26.0,3.1,1.3,1408,401000
1.28,19.3,2.1,0.8,2464,116685
7.68,35.9,5.3,2.6,1517,441050
1.7,2.6,8.1,1.2,897,116151
7.13,38.9,8.1,1.9,428,433222
2.16,40.5,8.6,1.4,2486,222045
8.42,51.5,2.8,2.6,2279,494918
4.82,52.0,5.6,1.4,2469,261490
11.75,13.1,8.5,2.0,1117,500001
10.81,33.3,3.3,0.8,699,500001
5.59,15.3,6.3,1.3,2142,332970
4.7,14.6,8.9,3.0,2070,336117
11.89,47.9,9.9,2.7,468,500001
13.06,13.7,7.7,2.6,2308,500001
8.87,14.7,5.3,1.6,1938,464163
13.26,5.7,6.1,1.2,2815,500001
5.25,1.1,8.2,2.3,2220,340288
7.15,34.9,4.9,0.7,1650,420831
3.57,14.7,8.6,1.3,1776,257184
8.71,25.8,4.7,2.2,240,500001
7.16,7.3,8.9,1.6,102,430340
14.39,11.3,7.5,0.8,1985,500001
4.47,34.4,4.0,1.4,2721,317136
2.9,21.2,4.4,2.2,779,170984
0.52,25.3,3.1,1.1,2072,40559
0.63,36.5,8.5,3.0,1325,116064
6.05,38.3,2.8,1.3,2655,360751
2.49,40.4,8.0,0.8,2980,220326
0.62,34.2,5.5,2.3,1921,112127
2.69,22.0,7.5,2.6,351,221186
9.05,20.6,9.7,1.3,506,500001
4.52,5.3,6.4,2.0,1862,268779
12.79,34.6,4.4,1.8,1578,500001
11.34,16.1,2.4,2.7,2869,500001
7.74,31.3,6.2,2.9,2962,449933
14.04,7.7,8.9,1.9,1160,500001
14.34,40.3,2.1,0.7,860,500001
1.08,4.1,8.3,1.8,1923,78806
10.68,5.2,6.3,2.0,905,500001
4.99,27.1,3.6,2.5,1656,272946
12.6,35.7,2.5,2.2,2217,500001
12.77,4.0,2.7,1.6,1415,500001
11.25,38.8,3.0,2.3,2134,500001
2.88,49.6,6.2,2.5,2190,229496
11.83,14.7,9.1,2.4,185,500001
12.2,14.9,2.5,2.3,1772,500001
5.72,26.5,6.5,1.4,840,355507
1.99,30.3,7.8,1.1,1576,207142
4.05,25.1,5.1,0.9,2800,263571
12.93,29.2,9.3,2.4,1316,500001
10.94,14.8,2.6,1.4,1556,500001
13.58,10.1,8.4,3.0,2867,500001
4.59,44.1,4.6,1.9,123,306241
3.41,29.8,4.4,2.1,1445,202839
11.7,11.0,9.2,2.4,811,500001
0.59,21.9,3.9,1.4,2535,106064
0.52,34.5,8.8,2.3,401,70294
8.18,13.1,5.9,0.6,2991,449834
13.86,46.8,6.2,2.3,1180,500001
14.63,5.3,2.8,0.8,2478,500001
6.81,50.2,3.9,1.2,1014,421745
12.11,36.7,7.9,1.3,889,500001
11.81,30.8,3.2,0.9,1452,500001
6.39,28.3,9.7,1.0,994,395687
2.79,36.0,8.6,2.2,217,228379
12.62,17.7,2.7,1.1,1132,500001
4.27,51.5,2.2,1.5,1411,273848
11.35,13.7,5.7,2.5,505,500001
14.75,7.7,8.6,1.4,1928,500001
9.85,30.7,4.1,2.5,163,500001
6.93,7.6,9.2,2.6,1061,417266
1.12,24.5,3.3,1.9,2483,93319
10.41,9.8,3.7,1.0,912,500001
13.31,2.8,7.0,1.1,956,500001
1.38,15.3,3.1,1.0,2665,113255
8.12,33.2,8.4,2.5,2969,485228
8.4,25.7,9.3,1.8,1226,473513
3.11,17.3,3.8,2.7,2358,249033
8.18,40.1,10.0,2.9,390,500001
10.02,14.6,8.5,2.8,262,500001
12.77,41.7,4.8,2.6,2551,500001
3.05,31.2,8.4,2.2,2751,256712
14.24,29.7,6.5,1.0,2965,500001
13.28,26.1,4.5,1.7,362,500001
8.13,1.0,9.3,1.0,478,468397
10.9,47.9,8.8,1.3,164,500001
11.73,44.2,8.9,2.9,1183,500001
14.16,21.2,2.8,1.3,496,500001
11.98,50.0,7.2,0.9,2909,500001
10.56,48.4,8.3,1.1,1808,500001
10.48,7.5,7.8,2.9,2851,500001
6.18,51.7,9.7,0.6,1847,455277
3.7,29.8,9.5,0.9,2261,237533
3.95,51.1,3.3,2.7,357,258083
13.36,23.8,4.1,1.1,297,500001
4.22,6.5,2.0,1.5,2224,268416
7.65,20.3,6.4,0.8,1491,426622
