cement,water,age,compressive_strength
223.2,185.9,56,79.6
456.4,141.1,14,94.5
274.1,202.7,28,74.1
395.3,235.3,56,83.4
207.2,181.8,56,73.8
264.8,196.7,14,68.5
347.5,183.0,56,90.5
101.5,221.6,28,46.5
202.0,165.8,56,84.4
440.2,156.9,14,94.3
421.1,224.3,14,76.4
145.0,180.1,14,58.1
352.0,146.8,90,95.7
332.6,225.1,3,53.4
333.7,123.6,14,85.0
226.4,223.0,7,44.4
257.8,121.3,7,65.8
147.3,235.4,3,30.0
283.5,171.6,14,72.8
321.2,237.2,3,47.3
313.9,152.8,56,88.4
141.7,148.8,56,79.3
176.0,206.5,3,32.7
232.0,159.7,56,74.9
394.8,154.0,90,101.5
497.9,191.9,28,98.4
159.8,244.8,14,43.0
466.1,126.1,7,95.3
256.2,208.2,3,46.3
336.9,233.0,56,75.3
464.5,243.5,28,83.7
217.1,192.5,56,75.4
316.5,229.8,14,67.1
272.8,194.0,56,79.5
464.9,205.0,56,84.7
288.8,173.9,90,89.5
352.4,146.5,14,81.1
455.4,136.0,7,87.2
479.9,152.8,56,111.8
338.1,125.6,28,91.3
268.8,237.3,28,67.3
427.4,168.6,14,89.9
415.0,136.4,14,88.8
464.1,199.5,28,91.7
473.0,219.9,7,70.8
475.6,143.5,56,112.8
472.7,204.2,14,83.0
275.8,123.8,28,82.4
221.4,157.5,14,77.1
248.9,149.0,28,77.4
429.6,150.1,7,84.4
225.0,183.6,3,50.8
391.5,148.4,7,78.1
380.6,232.0,56,89.6
257.8,205.6,3,48.5
472.2,128.8,90,117.1
411.5,138.6,28,93.1
297.9,175.3,14,65.0
198.6,165.0,14,61.8
384.9,161.8,14,85.7
222.1,208.6,14,62.7
156.0,231.7,3,18.8
231.1,167.9,3,58.2
279.5,127.1,3,56.5
245.3,197.9,14,60.0
279.3,159.9,28,79.9
185.9,220.4,14,55.6
275.3,188.8,90,87.3
433.3,229.7,3,55.0
242.6,159.0,56,79.0
439.0,198.4,3,66.2
233.3,183.5,56,80.1
311.9,174.8,3,57.8
375.4,151.2,90,95.6
172.9,241.7,56,58.3
289.8,189.5,7,63.0
241.1,142.6,56,79.9
290.1,121.3,56,91.0
125.0,143.6,28,68.8
376.6,173.1,90,99.1
190.6,225.6,56,68.5
120.0,186.5,3,31.0
175.2,156.3,28,75.6
298.6,215.6,28,69.5
337.0,171.7,3,48.7
494.8,149.2,28,107.4
202.8,168.9,28,75.0
204.8,237.8,3,28.9
416.1,209.6,3,56.5
119.3,197.4,14,42.3
312.5,150.4,90,97.0
383.5,141.3,90,110.9
365.4,157.8,14,84.8
168.1,158.3,14,61.0
306.7,200.5,90,79.6
346.0,179.5,14,69.2
450.7,227.1,28,85.4
231.4,212.3,14,57.1
307.3,134.5,56,91.5
120.5,138.6,28,67.5
315.5,205.8,90,79.8
438.3,229.0,7,65.6
355.7,237.9,28,77.3
459.5,180.1,14,86.3
466.4,154.1,14,86.1
424.4,222.7,7,59.8
164.0,249.3,56,60.6
141.9,143.7,7,52.7
301.1,217.8,56,74.2
145.6,130.6,7,46.6
433.7,130.4,14,84.4
330.6,235.4,3,46.4
466.8,245.6,90,85.6
329.1,230.0,3,41.7
248.2,139.2,28,82.5
469.8,196.1,7,79.4
351.2,205.4,90,84.7
301.8,217.6,90,73.5
407.5,207.0,7,70.6
150.6,171.3,90,75.7
196.5,196.0,3,38.9
199.4,231.5,7,51.8
222.9,204.0,14,46.3
239.8,151.6,28,78.7
312.4,227.4,3,47.2
442.2,213.2,3,62.2
154.3,147.6,28,71.0
182.6,129.1,14,76.9
312.4,146.7,28,81.6
155.9,177.2,7,47.4
339.8,193.9,7,59.1
241.3,223.8,3,38.4
317.8,246.8,28,59.0
136.1,202.3,14,46.0
360.3,231.9,28,74.1
195.8,183.4,7,46.9
146.3,169.4,7,57.1
257.2,208.2,3,40.0
464.4,181.3,7,71.6
282.8,231.2,56,58.3
360.1,173.3,14,68.3
465.6,158.3,56,113.0
202.6,226.2,90,74.5
264.9,124.5,3,57.1
483.6,162.0,7,80.0
233.9,233.4,90,76.2
206.2,246.8,3,29.7
115.0,207.0,56,66.2
185.6,154.3,28,71.1
267.9,174.9,56,84.8
203.7,155.2,3,47.5
311.5,195.3,56,80.9
108.6,173.5,3,40.3
267.4,172.3,90,87.7
444.1,201.5,90,87.9
467.9,194.1,7,68.9
211.3,199.8,28,64.2
406.1,233.3,14,76.3
432.5,219.7,56,94.6
399.4,179.0,28,90.3
178.6,203.4,28,63.3
422.4,244.8,3,56.3
435.7,226.7,90,85.1
406.3,124.6,14,98.4
404.0,237.1,56,81.1
297.4,191.3,28,72.1
304.8,215.2,7,53.1
261.9,218.9,28,69.5
193.0,121.1,3,56.4
349.1,134.7,14,87.6
449.3,246.0,7,73.9
318.0,171.5,14,73.6
115.8,154.1,90,78.8
439.0,232.1,7,72.4
389.7,166.3,28,84.8
153.6,154.9,14,62.3
376.1,209.6,90,91.4
208.8,193.5,7,49.4
196.1,191.6,3,59.6
123.8,182.8,56,61.5
469.4,138.7,14,107.2
317.6,180.5,56,85.1
160.4,170.7,14,52.0
446.2,194.7,7,77.1
496.7,229.5,7,77.6
174.2,121.8,90,85.9
267.7,134.0,56,87.5
120.6,145.0,28,64.1
252.6,126.5,3,60.6
159.7,171.9,90,75.6
472.0,221.3,3,62.5
337.8,221.3,7,52.0
388.6,129.1,14,95.1
178.6,244.6,56,63.7
290.3,160.7,3,58.8
138.3,151.6,14,66.1
104.9,223.8,7,33.4
346.1,131.6,3,67.5
137.4,146.5,28,65.2
326.5,216.6,28,78.1
298.2,144.1,3,57.1
421.7,153.0,90,107.8
416.9,249.8,3,44.6
327.8,191.1,3,55.0
202.7,151.8,3,51.0
493.3,138.8,7,91.3
414.6,237.3,7,59.3
244.2,132.1,28,85.9
185.9,196.4,3,40.7
156.8,215.2,90,66.8
222.0,227.0,28,53.6
453.3,168.9,3,73.4
356.6,165.9,3,66.5
189.9,137.0,28,79.8
427.3,213.6,3,63.7
488.2,208.0,14,92.5
243.6,190.2,3,44.3
252.9,137.1,3,56.7
482.0,189.8,3,70.1
168.3,175.9,28,72.8
393.0,224.3,28,77.4
202.1,192.3,56,70.8
285.4,249.9,3,37.2
300.1,155.0,28,82.0
192.3,226.7,56,70.1
490.6,247.0,3,55.4
347.9,193.7,3,54.5
274.9,125.7,28,78.4
311.6,227.1,7,51.7
257.2,245.1,90,74.0
230.4,150.0,56,85.7
207.6,176.8,28,70.0
163.1,149.1,56,76.3
264.1,155.7,7,70.6
167.3,249.7,7,44.1
397.4,183.9,90,98.5
461.1,120.2,7,92.2
404.5,120.3,3,83.4
199.5,157.9,90,84.1
497.6,178.9,56,104.6
306.5,194.3,56,82.4
499.7,135.8,3,83.5
331.9,231.3,3,48.1
253.8,217.9,90,78.9
374.2,146.2,28,94.5
396.9,195.7,56,97.0
283.9,213.1,3,44.5
255.3,190.4,90,79.2
437.1,130.7,56,113.2
270.1,250.0,28,60.4
468.5,226.1,56,93.5
306.0,209.0,7,48.6
389.2,151.8,28,96.1
133.0,132.5,3,44.7
322.1,168.0,14,81.7
231.9,138.4,56,89.9
489.1,144.6,14,95.4
422.0,206.4,3,59.0
195.7,173.7,3,49.2
278.6,168.8,56,81.4
332.8,211.5,28,71.9
272.8,139.3,3,65.6
206.8,203.7,3,44.5
424.0,211.8,56,96.7
160.9,137.9,7,53.9
305.3,197.5,14,70.2
456.3,138.3,56,107.7
238.7,235.3,28,59.8
154.4,149.6,14,66.3
354.9,145.0,14,89.1
237.8,179.1,3,58.7
217.9,140.7,3,61.0
155.8,211.2,3,34.0
319.6,209.3,3,45.0
489.8,165.0,3,70.6
214.7,232.6,28,59.2
285.9,142.5,3,61.9
205.8,173.1,3,52.5
308.9,179.6,3,59.2
135.9,234.3,7,39.5
327.1,248.7,90,88.3
270.9,165.6,7,74.1
478.6,213.0,3,68.2
299.1,175.8,14,72.6
456.5,238.7,14,83.4
224.8,214.3,14,50.1
491.4,174.5,7,74.9
440.9,159.0,3,75.0
194.6,167.6,90,82.3
397.4,201.4,7,73.1
438.1,153.7,14,88.5
323.3,174.8,28,86.9
165.3,161.3,3,45.2
399.8,136.4,28,94.5
281.2,120.5,28,84.6
